Name,Age,Position,Goals,Salary
Lionel Messi,36,Forward,25,100000
Cristiano Ronaldo,38,Forward,22,95000
Neymar,31,Forward,18,85000
Kevin DeBruyne,32,Midfielder,12,80000
Luka Modric,38,Midfielder,8,70000
Virgil VanDijk,32,Defender,5,65000
Mohamed Salah,31,Forward,20,90000
Erling Haaland,23,Forward,28,92000
Jude Bellingham,20,Midfielder,15,75000
Alisson Becker,31,Goalkeeper,1,60000
Harry Kane,30,Forward,21,88000
Rodri,27,Midfielder,10,78000
Ruben Dias,26,Defender,4,62000
Thibaut Courtois,31,Goalkeeper,0,58000
Vinicius Junior,23,Forward,19,82000
